,Protest,country
2011-06-30,0,Tunisia
2011-07-01,1,Tunisia
2011-07-02,0,Tunisia
2011-07-03,0,Tunisia
2011-07-04,0,Tunisia
2011-07-05,0,Tunisia
2011-07-06,0,Tunisia
2011-07-07,3,Tunisia
2011-07-08,0,Tunisia
2011-07-09,0,Tunisia
2011-07-10,0,Tunisia
2011-07-11,1,Tunisia
2011-07-12,0,Tunisia
2011-07-13,0,Tunisia
2011-07-14,0,Tunisia
2011-07-15,9,Tunisia
2011-07-16,3,Tunisia
2011-07-17,4,Tunisia
2011-07-18,4,Tunisia
2011-07-19,4,Tunisia
2011-07-20,3,Tunisia
2011-07-21,2,Tunisia
2011-07-22,0,Tunisia
2011-07-23,0,Tunisia
2011-07-24,0,Tunisia
2011-07-25,0,Tunisia
2011-07-26,0,Tunisia
2011-07-27,0,Tunisia
2011-07-28,0,Tunisia
2011-07-29,0,Tunisia
2011-07-30,0,Tunisia
2011-07-31,0,Tunisia
2011-08-01,0,Tunisia
2011-08-02,0,Tunisia
2011-08-03,0,Tunisia
2011-08-04,0,Tunisia
2011-08-05,0,Tunisia
2011-08-06,1,Tunisia
2011-08-07,2,Tunisia
2011-08-08,2,Tunisia
2011-08-09,2,Tunisia
2011-08-10,0,Tunisia
2011-08-11,0,Tunisia
2011-08-12,0,Tunisia
2011-08-13,1,Tunisia
2011-08-14,2,Tunisia
2011-08-15,4,Tunisia
2011-08-16,8,Tunisia
2011-08-17,1,Tunisia
2011-08-18,2,Tunisia
2011-08-19,0,Tunisia
2011-08-20,0,Tunisia
2011-08-21,0,Tunisia
2011-08-22,0,Tunisia
2011-08-23,0,Tunisia
2011-08-24,0,Tunisia
2011-08-25,0,Tunisia
2011-08-26,0,Tunisia
2011-08-27,0,Tunisia
2011-08-28,0,Tunisia
2011-08-29,0,Tunisia
2011-08-30,0,Tunisia
2011-08-31,0,Tunisia
2011-09-01,0,Tunisia
2011-09-02,0,Tunisia
2011-09-03,0,Tunisia
2011-09-04,0,Tunisia
2011-09-05,0,Tunisia
2011-09-06,0,Tunisia
2011-09-07,3,Tunisia
2011-09-08,0,Tunisia
2011-09-09,0,Tunisia
2011-09-10,0,Tunisia
2011-09-11,0,Tunisia
2011-09-12,0,Tunisia
2011-09-13,0,Tunisia
2011-09-14,1,Tunisia
2011-09-15,0,Tunisia
2011-09-16,0,Tunisia
2011-09-17,0,Tunisia
2011-09-18,0,Tunisia
2011-09-19,0,Tunisia
2011-09-20,0,Tunisia
2011-09-21,1,Tunisia
2011-09-22,0,Tunisia
2011-09-23,0,Tunisia
2011-09-24,0,Tunisia
2011-09-25,0,Tunisia
2011-09-26,0,Tunisia
2011-09-27,0,Tunisia
2011-09-28,0,Tunisia
2011-09-29,0,Tunisia
2011-09-30,0,Tunisia
2011-10-01,1,Tunisia
2011-10-02,1,Tunisia
2011-10-03,1,Tunisia
2011-10-04,0,Tunisia
2011-10-05,0,Tunisia
2011-10-06,0,Tunisia
2011-10-07,1,Tunisia
2011-10-08,1,Tunisia
2011-10-09,6,Tunisia
2011-10-10,2,Tunisia
2011-10-11,1,Tunisia
2011-10-12,2,Tunisia
2011-10-13,0,Tunisia
2011-10-14,5,Tunisia
2011-10-15,4,Tunisia
2011-10-16,0,Tunisia
2011-10-17,2,Tunisia
2011-10-18,0,Tunisia
2011-10-19,0,Tunisia
2011-10-20,0,Tunisia
2011-10-21,0,Tunisia
2011-10-22,1,Tunisia
2011-10-23,2,Tunisia
2011-10-24,0,Tunisia
2011-10-25,3,Tunisia
2011-10-26,0,Tunisia
2011-10-27,2,Tunisia
2011-10-28,5,Tunisia
2011-10-29,0,Tunisia
2011-10-30,0,Tunisia
2011-10-31,0,Tunisia
2011-11-01,1,Tunisia
2011-11-02,0,Tunisia
2011-11-03,0,Tunisia
2011-11-04,1,Tunisia
2011-11-05,0,Tunisia
2011-11-06,1,Tunisia
2011-11-07,0,Tunisia
2011-11-08,0,Tunisia
2011-11-09,1,Tunisia
2011-11-10,0,Tunisia
2011-11-11,2,Tunisia
2011-11-12,0,Tunisia
2011-11-13,0,Tunisia
2011-11-14,0,Tunisia
2011-11-15,0,Tunisia
2011-11-16,0,Tunisia
2011-11-17,0,Tunisia
2011-11-18,0,Tunisia
2011-11-19,0,Tunisia
2011-11-20,0,Tunisia
2011-11-21,1,Tunisia
2011-11-22,3,Tunisia
2011-11-23,7,Tunisia
2011-11-24,4,Tunisia
2011-11-25,1,Tunisia
2011-11-26,0,Tunisia
2011-11-27,0,Tunisia
2011-11-28,3,Tunisia
2011-11-29,6,Tunisia
2011-11-30,0,Tunisia
2011-12-01,1,Tunisia
2011-12-02,1,Tunisia
2011-12-03,5,Tunisia
2011-12-04,1,Tunisia
2011-12-05,1,Tunisia
2011-12-06,1,Tunisia
2011-12-07,0,Tunisia
2011-12-08,1,Tunisia
2011-12-09,0,Tunisia
2011-12-10,1,Tunisia
2011-12-11,1,Tunisia
2011-12-12,0,Tunisia
2011-12-13,2,Tunisia
2011-12-14,2,Tunisia
2011-12-15,2,Tunisia
2011-12-16,0,Tunisia
2011-12-17,3,Tunisia
2011-12-18,0,Tunisia
2011-12-19,1,Tunisia
2011-12-20,0,Tunisia
2011-12-21,0,Tunisia
2011-12-22,1,Tunisia
2011-12-23,1,Tunisia
2011-12-24,0,Tunisia
2011-12-25,0,Tunisia
2011-12-26,0,Tunisia
2011-12-27,1,Tunisia
2011-12-28,1,Tunisia
2011-12-29,0,Tunisia
2011-12-30,3,Tunisia
2011-12-31,0,Tunisia
