,Protest,country
2011-05-29,0,Libya
2011-05-30,1,Libya
2011-05-31,1,Libya
2011-06-01,0,Libya
2011-06-02,0,Libya
2011-06-03,0,Libya
2011-06-04,0,Libya
2011-06-05,0,Libya
2011-06-06,0,Libya
2011-06-07,0,Libya
2011-06-08,0,Libya
2011-06-09,0,Libya
2011-06-10,0,Libya
2011-06-11,1,Libya
2011-06-12,0,Libya
2011-06-13,0,Libya
2011-06-14,0,Libya
2011-06-15,0,Libya
2011-06-16,0,Libya
2011-06-17,2,Libya
2011-06-18,0,Libya
2011-06-19,1,Libya
2011-06-20,0,Libya
2011-06-21,0,Libya
2011-06-22,0,Libya
2011-06-23,1,Libya
2011-06-24,2,Libya
2011-06-25,0,Libya
2011-06-26,0,Libya
2011-06-27,3,Libya
2011-06-28,0,Libya
2011-06-29,1,Libya
2011-06-30,0,Libya
2011-07-01,0,Libya
2011-07-02,1,Libya
2011-07-03,0,Libya
2011-07-04,0,Libya
2011-07-05,0,Libya
2011-07-06,4,Libya
2011-07-07,1,Libya
2011-07-08,0,Libya
2011-07-09,0,Libya
2011-07-10,0,Libya
2011-07-11,0,Libya
2011-07-12,0,Libya
2011-07-13,0,Libya
2011-07-14,0,Libya
2011-07-15,0,Libya
2011-07-16,2,Libya
2011-07-17,0,Libya
2011-07-18,2,Libya
2011-07-19,0,Libya
2011-07-20,0,Libya
2011-07-21,0,Libya
2011-07-22,1,Libya
2011-07-23,1,Libya
2011-07-24,2,Libya
2011-07-25,0,Libya
2011-07-26,1,Libya
2011-07-27,0,Libya
2011-07-28,0,Libya
2011-07-29,1,Libya
2011-07-30,2,Libya
2011-07-31,0,Libya
2011-08-01,1,Libya
2011-08-02,0,Libya
2011-08-03,1,Libya
2011-08-04,0,Libya
2011-08-05,0,Libya
2011-08-06,0,Libya
2011-08-07,0,Libya
2011-08-08,0,Libya
2011-08-09,0,Libya
2011-08-10,1,Libya
2011-08-11,0,Libya
2011-08-12,0,Libya
2011-08-13,0,Libya
2011-08-14,0,Libya
2011-08-15,0,Libya
2011-08-16,1,Libya
2011-08-17,0,Libya
2011-08-18,1,Libya
2011-08-19,1,Libya
2011-08-20,1,Libya
2011-08-21,2,Libya
2011-08-22,3,Libya
2011-08-23,4,Libya
2011-08-24,1,Libya
2011-08-25,3,Libya
2011-08-26,2,Libya
2011-08-27,0,Libya
2011-08-28,0,Libya
2011-08-29,0,Libya
2011-08-30,0,Libya
2011-08-31,0,Libya
2011-09-01,1,Libya
2011-09-02,0,Libya
2011-09-03,0,Libya
2011-09-04,1,Libya
2011-09-05,0,Libya
2011-09-06,0,Libya
2011-09-07,1,Libya
2011-09-08,0,Libya
2011-09-09,0,Libya
2011-09-10,2,Libya
2011-09-11,0,Libya
2011-09-12,0,Libya
2011-09-13,1,Libya
2011-09-14,1,Libya
2011-09-15,0,Libya
2011-09-16,1,Libya
2011-09-17,0,Libya
2011-09-18,0,Libya
2011-09-19,2,Libya
2011-09-20,0,Libya
2011-09-21,0,Libya
2011-09-22,2,Libya
2011-09-23,0,Libya
2011-09-24,0,Libya
2011-09-25,1,Libya
2011-09-26,1,Libya
2011-09-27,1,Libya
2011-09-28,0,Libya
2011-09-29,0,Libya
2011-09-30,0,Libya
2011-10-01,0,Libya
2011-10-02,0,Libya
2011-10-03,0,Libya
2011-10-04,0,Libya
2011-10-05,0,Libya
2011-10-06,0,Libya
2011-10-07,0,Libya
2011-10-08,0,Libya
2011-10-09,0,Libya
2011-10-10,0,Libya
2011-10-11,0,Libya
2011-10-12,0,Libya
2011-10-13,0,Libya
2011-10-14,3,Libya
2011-10-15,1,Libya
2011-10-16,1,Libya
2011-10-17,0,Libya
2011-10-18,3,Libya
2011-10-19,1,Libya
2011-10-20,2,Libya
2011-10-21,5,Libya
2011-10-22,1,Libya
2011-10-23,4,Libya
2011-10-24,0,Libya
2011-10-25,0,Libya
2011-10-26,0,Libya
2011-10-27,0,Libya
2011-10-28,2,Libya
2011-10-29,0,Libya
2011-10-30,0,Libya
2011-10-31,0,Libya
2011-11-01,0,Libya
2011-11-02,0,Libya
2011-11-03,0,Libya
2011-11-04,2,Libya
2011-11-05,0,Libya
2011-11-06,2,Libya
2011-11-07,0,Libya
2011-11-08,3,Libya
2011-11-09,1,Libya
2011-11-10,0,Libya
2011-11-11,1,Libya
2011-11-12,0,Libya
2011-11-13,0,Libya
2011-11-14,0,Libya
2011-11-15,0,Libya
2011-11-16,0,Libya
2011-11-17,0,Libya
2011-11-18,0,Libya
2011-11-19,0,Libya
2011-11-20,1,Libya
2011-11-21,0,Libya
2011-11-22,2,Libya
2011-11-23,0,Libya
2011-11-24,2,Libya
2011-11-25,0,Libya
2011-11-26,2,Libya
2011-11-27,5,Libya
2011-11-28,2,Libya
2011-11-29,0,Libya
2011-11-30,0,Libya
2011-12-01,0,Libya
2011-12-02,0,Libya
2011-12-03,0,Libya
2011-12-04,1,Libya
2011-12-05,2,Libya
2011-12-06,2,Libya
2011-12-07,2,Libya
2011-12-08,5,Libya
2011-12-09,0,Libya
2011-12-10,0,Libya
2011-12-11,0,Libya
2011-12-12,13,Libya
2011-12-13,4,Libya
2011-12-14,3,Libya
2011-12-15,0,Libya
2011-12-16,0,Libya
2011-12-17,0,Libya
2011-12-18,0,Libya
2011-12-19,0,Libya
2011-12-20,0,Libya
2011-12-21,2,Libya
2011-12-22,0,Libya
2011-12-23,0,Libya
2011-12-24,1,Libya
2011-12-25,0,Libya
2011-12-26,0,Libya
2011-12-27,2,Libya
2011-12-28,0,Libya
2011-12-29,1,Libya
2011-12-30,2,Libya
2011-12-31,2,Libya
