,Protest,country
2011-11-01,7,Syria
2011-11-02,0,Syria
2011-11-03,2,Syria
2011-11-04,8,Syria
2011-11-05,7,Syria
2011-11-06,10,Syria
2011-11-07,5,Syria
2011-11-08,4,Syria
2011-11-09,2,Syria
2011-11-10,3,Syria
2011-11-11,5,Syria
2011-11-12,13,Syria
2011-11-13,23,Syria
2011-11-14,16,Syria
2011-11-15,16,Syria
2011-11-16,13,Syria
2011-11-17,5,Syria
2011-11-18,9,Syria
2011-11-19,1,Syria
2011-11-20,2,Syria
2011-11-21,0,Syria
2011-11-22,4,Syria
2011-11-23,0,Syria
2011-11-24,9,Syria
2011-11-25,9,Syria
2011-11-26,3,Syria
2011-11-27,4,Syria
2011-11-28,3,Syria
2011-11-29,2,Syria
2011-11-30,0,Syria
2011-12-01,0,Syria
2011-12-02,1,Syria
2011-12-03,4,Syria
2011-12-04,1,Syria
2011-12-05,1,Syria
2011-12-06,1,Syria
2011-12-07,1,Syria
2011-12-08,2,Syria
2011-12-09,7,Syria
2011-12-10,6,Syria
2011-12-11,4,Syria
2011-12-12,4,Syria
2011-12-13,1,Syria
2011-12-14,7,Syria
2011-12-15,3,Syria
2011-12-16,4,Syria
2011-12-17,3,Syria
2011-12-18,1,Syria
2011-12-19,2,Syria
2011-12-20,0,Syria
2011-12-21,2,Syria
2011-12-22,3,Syria
2011-12-23,4,Syria
2011-12-24,2,Syria
2011-12-25,0,Syria
2011-12-26,1,Syria
2011-12-27,12,Syria
2011-12-28,14,Syria
2011-12-29,12,Syria
2011-12-30,20,Syria
2011-12-31,9,Syria
