,Protest,country
2011-11-07,0,Egypt
2011-11-08,0,Egypt
2011-11-09,1,Egypt
2011-11-10,0,Egypt
2011-11-11,4,Egypt
2011-11-12,0,Egypt
2011-11-13,3,Egypt
2011-11-14,1,Egypt
2011-11-15,0,Egypt
2011-11-16,0,Egypt
2011-11-17,7,Egypt
2011-11-18,21,Egypt
2011-11-19,29,Egypt
2011-11-20,88,Egypt
2011-11-21,89,Egypt
2011-11-22,75,Egypt
2011-11-23,56,Egypt
2011-11-24,34,Egypt
2011-11-25,40,Egypt
2011-11-26,25,Egypt
2011-11-27,16,Egypt
2011-11-28,29,Egypt
2011-11-29,12,Egypt
2011-11-30,14,Egypt
2011-12-01,4,Egypt
2011-12-02,4,Egypt
2011-12-03,1,Egypt
2011-12-04,0,Egypt
2011-12-05,0,Egypt
2011-12-06,2,Egypt
2011-12-07,8,Egypt
2011-12-08,3,Egypt
2011-12-09,1,Egypt
2011-12-10,0,Egypt
2011-12-11,1,Egypt
2011-12-12,0,Egypt
2011-12-13,0,Egypt
2011-12-14,4,Egypt
2011-12-15,6,Egypt
2011-12-16,41,Egypt
2011-12-17,18,Egypt
2011-12-18,19,Egypt
2011-12-19,21,Egypt
2011-12-20,20,Egypt
2011-12-21,16,Egypt
2011-12-22,9,Egypt
2011-12-23,16,Egypt
2011-12-24,2,Egypt
2011-12-25,0,Egypt
2011-12-26,3,Egypt
2011-12-27,4,Egypt
2011-12-28,0,Egypt
2011-12-29,0,Egypt
2011-12-30,1,Egypt
2011-12-31,3,Egypt
